date, value
20110104,10.9582
20110105,11.0682
20110106,11.1492
20110107,11.1749
20110110,11.1613
20110111,11.2248
20110112,11.2553
20110113,11.0831
20110114,11.0913
20110118,11.1283
20110119,10.9832
20110120,10.9338
20110121,10.8569
20110124,10.8649
20110125,10.8561
20110126,10.9034
20110127,10.8954
20110128,10.8226
20110131,10.8045
20110201,10.9215
20110202,10.9304
20110203,11.0501
20110204,11.1271
20110207,11.201
20110208,11.1623
20110209,11.0954
20110210,11.1448
20110211,11.2127
20110214,11.3211
20110215,11.2735
20110216,11.3357
20110217,11.3485
20110218,11.3248
20110222,11.0743
20110223,10.9529
20110224,10.9095
20110225,11.0621
20110228,11.0958
20110301,10.994
20110302,10.9314
20110303,11.0011
20110304,10.9323
20110307,10.8367
20110308,10.9448
20110309,10.9183
20110310,10.8007
20110311,10.7833
20110314,10.5666
20110315,10.3331
20110316,10.2745
20110318,10.3334
20110321,10.4619
20110322,10.4715
20110323,10.5417
20110324,10.5849
20110325,10.6419
20110328,10.636
20110329,10.6931
20110330,10.7717
20110331,10.6904
20110401,10.7776
20110404,10.7457
20110405,10.7512
20110406,10.6885
20110407,10.7024
20110408,10.6443
20110411,10.6095
20110412,10.4626
20110413,10.496
20110414,10.512
20110415,10.5552
20110418,10.5464
20110419,10.5268
20110420,10.5872
20110421,10.6298
20110426,10.6345
20110427,10.6614
20110428,10.6361
20110429,10.6572
20110503,10.6134
20110504,10.4983
20110505,10.5705
20110506,10.6815
20110509,10.8184
20110510,10.8513
20110511,10.8303
20110512,10.8583
20110513,10.7888
20110516,10.7184
20110517,10.7122
20110518,10.7529
20110519,10.7825
20110520,10.7865
20110523,10.7013
20110524,10.6579
20110525,10.72
20110526,10.7539
20110527,10.7261
20110531,10.7679
20110601,10.5847
20110602,10.493
20110603,10.3613
20110607,10.2162
20110608,10.1908
20110609,10.3091
20110610,10.2615
20110613,10.2507
20110614,10.316
20110615,10.2807
20110616,10.3055
20110617,10.2426
20110620,10.2475
20110621,10.3649
20110622,10.3038
20110623,10.3662
20110624,10.3051
20110627,10.2713
20110628,10.3318
20110629,10.4481
20110630,10.51
20110701,10.6228
20110705,10.6537
20110706,10.7409
20110707,10.7791
20110708,10.7868
20110711,10.7618
20110712,10.7027
20110713,10.6758
20110714,10.6037
20110715,10.6463
20110718,10.5894
20110719,10.6237
20110720,10.6812
20110721,10.7021
20110722,10.7522
20110725,10.7115
20110726,10.6128
20110727,10.5025
20110728,10.5137
20110729,10.41
20110802,10.2258
20110803,10.1234
20110804,9.7809
20110805,9.6407
20110808,9.1501
20110809,9.387
20110810,9.1354
20110811,9.3715
20110812,9.522
20110815,9.5622
20110816,9.5297
20110817,9.5259
20110818,9.1967
20110819,9.0029
20110822,9.0231
20110823,9.2278
20110824,9.303
20110825,9.2289
20110826,9.2915
20110829,9.4003
20110830,9.5083
20110831,9.6521
20110901,9.6874
20110902,9.4907
20110906,9.3373
20110907,9.5964
20110908,9.587
20110909,9.4983
20110912,9.4689
20110913,9.523
20110914,9.6154
20110915,9.6953
20110916,9.796
20110919,9.7559
20110920,9.7315
20110921,9.538
20110922,9.2903
20110923,9.3015
20110926,9.4576
20110927,9.6032
20110928,9.4876
20110929,9.5156
20110930,9.4595
20111003,9.3063
20111004,9.3015
20111005,9.4685
20111006,9.6396
20111007,9.5973
20111010,9.7381
20111011,9.7736
20111012,9.7987
20111013,9.8093
20111014,9.8389
20111017,9.7904
20111018,9.896
20111019,9.7909
20111020,9.7975
20111021,9.8839
20111024,10.0385
20111025,9.8906
20111026,9.9897
20111027,10.1726
20111028,10.1759
20111101,9.8787
20111102,9.9135
20111103,10.1017
20111104,10.0591
20111107,10.0838
20111108,10.1347
20111109,10.0027
20111110,9.9904
20111111,10.106
20111114,10.0904
20111115,10.1444
20111116,10.0386
20111117,9.912
20111118,9.863
20111121,9.6771
20111122,9.6239
20111123,9.518
20111125,9.5333
20111128,9.7727
20111129,9.8498
20111130,10.1405
20111201,10.1337
20111202,10.1911
20111205,10.2622
20111206,10.2791
20111207,10.3056
20111208,10.1704
20111209,10.2394
20111212,10.1948
20111213,10.2122
20111214,10.1389
20111215,10.1361
20111216,10.1303
20111219,10.0542
20111220,10.2345
20111221,10.2857
20111222,10.355
20111223,10.4534
20111229,10.5146
20111230,10.5047
20120103,10.6555
20120104,10.7531
20120105,10.7914
20120106,10.8119
20120109,10.7989
20120110,10.9008
20120111,10.9505
20120112,10.8835
20120113,10.9385
20120117,10.973
20120118,11.0013
20120119,11.0331
20120120,11.0335
20120123,10.9871
20120124,10.9947
20120125,11.0575
20120126,10.9664
20120127,10.9474
20120130,10.8999
20120131,10.9369
20120201,10.9935
20120202,11.036
20120203,11.2
20120206,11.2348
20120207,11.1378
20120208,11.1547
20120209,11.1388
20120210,11.1092
20120213,11.1698
20120214,11.1968
20120215,11.2634
20120216,11.335
20120217,11.3002
20120221,11.2712
20120222,11.2429
20120223,11.2287
20120224,11.1579
20120227,11.1971
20120228,11.2163
20120229,11.2204
20120301,11.3089
20120302,11.3655
20120305,11.2859
20120306,11.1531
20120307,11.199
20120308,11.2426
20120309,11.3875
20120312,11.35
20120313,11.5459
20120314,11.5955
20120315,11.6333
20120316,11.6019
20120320,11.522
20120321,11.5118
20120322,11.4375
20120323,11.413
20120326,11.4903
20120327,11.4847
20120328,11.44
20120329,11.3892
20120330,11.4129
20120402,11.5347
20120403,11.4388
20120404,11.4115
20120405,11.4468
20120410,11.1576
20120411,11.1899
20120412,11.2997
20120413,11.239
20120416,11.2454
20120417,11.3568
20120418,11.3441
20120419,11.2727
20120420,11.2539
20120423,11.1752
20120424,11.1758
20120425,11.3152
20120426,11.347
20120427,11.3695
20120430,11.3518
20120501,11.3866
20120502,11.4031
20120503,11.3416
20120504,11.206
20120508,11.1825
20120509,11.155
20120510,11.1734
20120511,11.1648
20120514,11.0947
20120515,11.0558
20120516,11.0052
20120517,10.9147
20120518,10.7858
20120521,10.8675
20120522,10.953
20120523,10.9892
20120524,11.0296
20120525,11.0652
20120529,11.1652
20120530,11.109
20120531,11.1009
20120601,10.8692
20120605,10.8324
20120606,11.0424
20120607,11.0522
20120608,11.1204
20120611,11.0368
20120612,11.1583
20120613,11.0401
20120614,11.0746
20120615,11.1687
20120618,11.2398
20120619,11.2936
20120620,11.2944
20120621,11.1718
20120622,11.2231
20120625,11.1112
20120626,11.1402
20120627,11.2604
20120628,11.2717
20120629,11.3684
20120702,11.5082
20120703,11.5906
20120705,11.716
20120706,11.6638
20120709,11.6208
20120710,11.6124
20120711,11.6182
20120712,11.5714
20120713,11.6883
20120716,11.6912
20120717,11.7527
20120718,11.799
20120719,11.8861
20120720,11.8191
20120723,11.6814
20120724,11.6237
20120725,11.5771
20120726,11.659
20120727,11.803
20120730,11.9629
20120731,11.8603
20120801,11.8559
20120802,11.8639
20120803,11.9242
20120807,12.0044
20120808,12.0698
20120809,12.1352
20120810,12.1357
20120813,12.0793
20120814,12.1215
20120815,12.1583
20120816,12.182
20120817,12.2722
20120820,12.2251
20120821,12.1243
20120822,12.0845
20120823,11.95
20120824,12.0187
20120827,12.0259
20120828,11.9574
20120829,11.9868
20120830,11.9109
20120831,11.8766
20120904,11.8759
20120905,11.8261
20120906,12.0228
20120907,12.0001
20120910,11.9613
20120911,11.9548
20120912,11.9628
20120913,12.0618
20120914,12.0027
20120917,11.9656
20120918,11.9941
20120919,12.0318
20120920,12.0668
20120921,12.0644
20120924,12.0774
20120925,11.9933
20120926,11.9561
20120927,12.0347
20120928,11.9525
20121001,11.9822
20121002,11.9609
20121003,11.9873
20121004,11.9835
20121005,11.9849
20121008,11.9938
20121009,11.9444
20121010,11.8645
20121011,11.8606
20121012,11.8131
20121015,11.9027
20121016,11.9732
20121017,11.9769
20121018,12.002
20121019,11.9023
20121022,11.8537
20121023,11.7622
20121024,11.7478
20121025,11.7927
20121026,11.7952
20121030,11.7702
20121031,11.7829
20121101,11.9078
20121102,11.9252
20121105,11.9611
20121106,12.0175
20121107,11.8613
20121108,11.7744
20121109,11.7875
20121112,11.7696
20121113,11.748
20121114,11.5998
20121115,11.5128
20121116,11.5864
20121119,11.7404
20121120,11.7562
20121121,11.77
20121123,11.8297
20121126,11.8035
20121127,11.805
20121128,11.8673
20121129,11.9032
20121130,11.8852
20121203,11.8149
20121204,11.799
20121205,11.8296
20121206,11.9381
20121207,12.007
20121210,12.0201
20121211,12.0247
20121212,12.0095
20121213,11.9256
20121214,11.8871
20121217,11.9271
20121218,11.9938
20121219,11.96
20121220,12.0072
20121221,11.9684
20121224,11.9261
20121228,11.8028
20121231,11.9399
20130102,12.1475
20130103,12.2532
20130104,12.3513
20130107,12.2713
20130108,12.2618
20130109,12.3275
20130110,12.2696
20130111,12.1792
20130114,12.145
20130115,12.1848
20130116,12.1989
20130117,12.2064
20130118,12.2844
20130121,12.2752
20130122,12.3378
20130123,12.3381
20130124,12.2805
20130125,12.2697
20130128,12.261
20130129,12.3126
20130130,12.2202
20130131,12.1816
20130201,12.1703
20130204,12.1448
20130205,12.2199
20130206,12.24
20130207,12.321
20130208,12.4043
20130211,12.3637
20130212,12.3566
20130213,12.3871
20130214,12.4562
20130215,12.4074
20130218,12.4221
20130219,12.5173
20130220,12.4198
20130221,12.4002
20130222,12.5468
20130225,12.4003
20130226,12.4907
20130227,12.5782
20130228,12.6643
20130301,12.7205
20130304,12.7255
20130305,12.8477
20130306,12.8947
20130307,12.8392
20130308,12.9742
20130311,12.9967
20130312,12.9763
20130313,13.021
20130314,13.0842
20130315,13.0379
20130318,13.0244
20130319,13.058
20130320,13.0653
20130321,13.0215
20130322,13.0018
20130325,13.0656
20130326,13.1456
20130327,13.2018
20130328,13.1924
20130402,13.2021
20130403,13.104
20130404,13.0674
20130405,12.8711
20130408,12.9458
20130409,12.9648
20130410,13.1143
20130411,13.1678
20130412,13.1418
20130415,12.9282
20130416,12.9533
20130417,12.8774
20130418,12.7749
20130419,12.8542
20130422,12.9489
20130423,13.1178
20130424,13.2039
20130425,13.2712
20130426,13.2398
20130429,13.2651
20130430,13.2506
20130501,13.1568
20130502,13.3083
20130503,13.3801
20130507,13.5011
20130508,13.5205
20130509,13.5352
20130510,13.6643
20130513,13.6695
20130514,13.7545
20130515,13.9304
20130516,13.8462
20130517,13.9925
20130520,14.0099
20130521,14.0138
20130522,13.9407
20130523,13.7346
20130524,13.6993
20130527,13.6609
20130528,13.8191
20130529,13.6316
20130530,13.5644
20130531,13.4816
20130604,13.3813
20130605,13.1647
20130606,13.0934
20130607,13.2052
20130610,13.2573
20130611,13.0908
20130612,12.9823
20130613,13.0784
20130614,13.0352
20130617,13.1457
20130618,13.1552
20130619,13.0722
20130620,12.8394
20130621,12.8526
20130624,12.7121
20130625,12.838
20130626,13.0304
20130627,13.1258
20130628,13.1066
20130701,13.1691
20130702,13.1759
20130703,13.2006
20130704,13.3305
20130705,13.4203
20130708,13.4682
20130709,13.6523
20130710,13.6218
20130711,13.644
20130712,13.6454
20130715,13.6757
20130716,13.5783
20130717,13.6505
20130718,13.7234
20130719,13.695
20130722,13.7026
20130723,13.6693
20130724,13.6383
20130725,13.6332
20130726,13.5899
20130729,13.5351
20130730,13.551
20130731,13.5021
20130801,13.7011
20130802,13.7303
20130806,13.6517
20130807,13.5688
20130808,13.5779
20130809,13.6052
20130812,13.6388
20130813,13.7268
20130814,13.6995
20130815,13.5464
20130816,13.4698
20130819,13.3877
20130820,13.3054
20130821,13.2593
20130822,13.3637
20130823,13.4014
20130826,13.3945
20130827,13.1978
20130828,13.2129
20130829,13.3392
20130830,13.3028
20130902,13.3777
20130903,13.4541
20130904,13.5074
20130905,13.6001
20130906,13.6041
20130909,13.6287
20130910,13.7337
20130911,13.7579
20130912,13.7271
20130913,13.7847
20130916,13.8031
20130917,13.8131
20130918,13.9416
20130919,13.8441
20130920,13.7905
20130923,13.7603
20130924,13.7411
20130925,13.7103
20130926,13.7731
20130927,13.6968
20130930,13.6018
20131001,13.7005
20131002,13.6139
20131003,13.5088
20131004,13.578
20131007,13.5039
20131008,13.3641
20131009,13.4145
20131010,13.64
20131011,13.7001
20131014,13.7236
20131015,13.7671
20131016,13.8872
20131017,13.8549
20131018,13.9231
20131021,13.9568
20131022,13.9537
20131023,13.8667
20131024,13.9
20131025,13.9098
20131029,13.9894
20131030,13.9669
20131031,14.0689
20131101,14.1361
20131104,14.1644
20131105,14.1643
20131106,14.1871
20131107,14.1721
20131108,14.278
20131111,14.2566
20131112,14.2046
20131113,14.2705
20131114,14.3143
20131115,14.3746
20131118,14.333
20131119,14.2774
20131120,14.2992
20131121,14.3458
20131122,14.3395
20131125,14.3631
20131126,14.2906
20131127,14.3028
20131128,14.3122
20131129,14.2917
20131202,14.2914
20131203,14.1888
20131204,14.1478
20131205,13.9931
20131206,14.0859
20131209,14.0929
20131210,14.0104
20131211,13.8693
20131212,13.8092
20131213,13.8235
20131216,13.892
20131217,13.8681
20131218,14.0183
20131219,14.1561
20131220,14.2265
20131223,14.2833
20131224,14.3458
20131227,14.3588
20131230,14.3378
20131231,14.4171
20140102,14.4064
20140103,14.4615
20140106,14.388
20140107,14.483
20140108,14.5132
20140109,14.4957
20140110,14.4806
20140113,14.4154
20140114,14.4352
20140115,14.6073
20140116,14.5935
20140117,14.6231
20140120,14.6144
20140121,14.656
20140122,14.6554
20140123,14.4331
20140124,14.1466
20140127,14.0416
20140128,14.1076
20140129,14.0622
20140130,14.1799
20140131,14.1819
20140203,13.912
20140204,13.9028
20140205,13.9038
20140206,14.0166
20140207,14.1654
20140210,14.1791
20140211,14.3043
20140212,14.4303
20140213,14.3971
20140214,14.4372
20140217,14.4507
20140218,14.462
20140219,14.4145
20140220,14.4668
20140221,14.4668
20140224,14.5614
20140225,14.5636
20140226,14.5961
20140227,14.6148
20140228,14.5384
20140303,14.4059
20140304,14.6343
20140305,14.6509
20140306,14.6085
20140307,14.5434
20140310,14.4849
20140311,14.4611
20140312,14.3697
20140313,14.2278
20140314,14.1392
20140318,14.3623
20140319,14.3024
20140320,14.4015
20140321,14.3956
20140324,14.3306
20140325,14.4221
20140326,14.4033
20140327,14.4525
20140328,14.5155
20140331,14.5888
20140401,14.6623
20140402,14.725
20140403,14.7608
20140404,14.709
20140407,14.5089
20140408,14.4947
20140409,14.5652
20140410,14.3405
20140411,14.182
20140414,14.3107
20140415,14.3234
20140416,14.5002
20140417,14.5137
20140422,14.6615
20140423,14.6054
20140424,14.6329
20140425,14.525
20140428,14.5351
20140429,14.6492
20140430,14.6488
20140501,14.6723
20140502,14.6629
20140506,14.5483
20140507,14.5692
20140508,14.6588
20140509,14.7453
20140512,14.8514
20140513,14.9343
20140514,14.9099
20140515,14.7969
20140516,14.8243
20140519,14.8296
20140520,14.7878
20140521,14.8991
20140522,14.961
20140523,15.0387
20140526,15.0628
20140527,15.1446
20140528,15.1521
20140529,15.1964
20140530,15.1802
20140603,15.216
20140604,15.2343
20140605,15.3119
20140606,15.3649
20140609,15.4304
20140610,15.4779
20140611,15.4596
20140612,15.3891
20140613,15.4306
20140616,15.3806
20140617,15.4254
20140618,15.4757
20140619,15.5034
20140620,15.5591
20140623,15.5317
20140624,15.4513
20140625,15.4145
20140626,15.4597
20140627,15.4344
20140630,15.3993
20140701,15.5172
20140702,15.5632
20140703,15.6784
20140704,15.6965
20140707,15.6117
20140708,15.4757
20140709,15.4851
20140710,15.4274
20140711,15.4436
20140714,15.5095
20140715,15.527
20140716,15.6566
20140717,15.5304
20140718,15.6226
20140721,15.5723
20140722,15.7296
20140723,15.7648
20140724,15.7777
20140725,15.7475
20140728,15.7397
20140729,15.7371
20140730,15.7402
20140731,15.5046
20140801,15.3706
20140805,15.3717
20140806,15.3455
20140807,15.2762
20140808,15.2575
20140811,15.3889
20140812,15.4032
20140813,15.4681
20140814,15.5315
20140815,15.5162
20140818,15.6583
20140819,15.7816
20140820,15.8301
20140821,15.8891
20140822,15.8996
20140825,16.0249
20140826,16.055
20140827,16.0723
20140828,16.0486
20140829,16.0936
20140901,16.1334
20140902,16.1415
20140903,16.1704
20140904,16.3525
20140905,16.3817
20140908,16.336
20140909,16.2747
20140910,16.2979
20140911,16.2803
20140912,16.2137
20140915,16.1885
20140916,16.2369
20140917,16.242
20140918,16.3595
20140919,16.4408
20140922,16.3325
20140923,16.1858
20140924,16.3384
20140925,16.2086
20140926,16.3297
20140929,16.2875
20140930,16.3212
20141001,16.1847
20141002,16.0033
20141003,16.2558
20141006,16.2251
20141007,15.9707
20141008,16.0164
20141009,15.7881
20141010,15.6438
20141013,15.4517
20141014,15.4402
20141015,15.1818
20141016,15.1323
20141017,15.347
20141020,15.4499
20141021,15.7512
20141022,15.7923
20141023,15.939
20141024,15.9895
20141028,16.0495
20141029,16.0495
20141030,16.2551
20141031,16.5577
20141103,16.5289
20141104,16.4064
20141105,16.5985
20141106,16.6822
20141107,16.7104
20141110,16.7463
20141111,16.7908
20141112,16.7082
20141113,16.7253
20141114,16.7286
20141117,16.7385
20141118,16.7685
20141119,16.723
20141120,16.7315
20141121,17.0197
20141124,17.0154
20141125,16.9761
20141126,16.9697
20141127,17.0017
20141128,16.9716
20141201,16.8643
20141202,17.0251
20141203,17.1754
20141204,16.9862
20141205,17.1982
20141208,17.0875
20141209,16.862
20141210,16.6415
20141211,16.6952
20141212,16.3543
20141215,16.2069
20141216,16.104
20141217,16.4199
20141218,16.9102
20141219,17.0385
20141222,17.1097
20141223,17.232
20141224,17.235
20141229,17.306
20141230,17.2222
20141231,17.1987
20150102,17.2488
20150105,17.0422
20150106,16.8949
20150107,17.1435
20150108,17.4896
20150109,17.3207
20150112,17.2717
20150113,17.341
20150114,17.1999
20150115,17.4666
20150116,17.7381
20150119,17.6042
20150120,17.7296
20150121,17.8049
20150122,18.2431
20150123,18.4841
20150126,18.5248
20150127,18.216
20150128,18.1366
20150129,18.1926
20150130,18.1029
20150202,18.189
20150203,18.2444
20150204,18.2834
20150205,18.408
20150206,18.4749
20150209,18.4216
20150210,18.5654
20150211,18.5547
20150212,18.6586
20150213,18.7275
20150216,18.7322
20150217,18.7639
20150218,18.872
20150219,18.8466
20150220,18.962
20150223,19.0099
20150224,19.0896
20150225,19.0785
20150226,19.2941
20150227,19.2768
20150302,19.3545
20150303,19.288
20150304,19.4083
20150305,19.5126
20150306,19.571
20150309,19.5976
20150310,19.5177
20150311,19.7437
20150312,19.8768
20150313,19.9535
20150316,20.081
20150318,20.1201
20150319,20.1283
20150320,20.0749
20150323,19.8717
20150324,19.8464
20150325,19.5237
20150326,19.5194
20150327,19.5828
20150330,19.8332
20150331,19.8121
20150401,19.7495
20150402,19.6525
20150407,19.8612
20150408,20.0164
20150409,20.2922
20150410,20.479
20150413,20.4983
20150414,20.3535
20150415,20.5649
20150416,20.4246
20150417,20.0839
20150420,20.2394
20150421,20.2977
20150422,20.3862
20150423,20.3074
20150424,20.275
20150427,20.2613
20150428,20.1022
20150429,19.7182
20150430,19.434
20150501,19.5028
20150505,19.4161
20150506,19.1296
20150507,19.2538
20150508,19.6085
20150511,19.6711
20150512,19.4616
20150513,19.3378
20150514,19.4427
20150515,19.3815
20150518,19.5336
20150519,19.8954
20150520,19.9445
20150521,19.9897
20150522,20.0875
20150525,20.0909
20150526,20.068
20150527,20.2507
20150528,20.149
20150529,19.9314
20150602,19.6719
20150603,19.5165
20150604,19.332
20150605,19.4662
20150608,19.2131
20150609,19.1391
20150610,19.3148
20150611,19.4658
20150612,19.3062
20150615,19.1897
20150616,19.2944
20150617,19.2789
20150618,19.1939
20150619,19.2567
20150622,19.3724
20150623,19.7404
20150624,19.6257
20150625,19.5668
20150626,19.6039
20150629,19.1606
20150630,19.1535
20150701,19.3527
20150702,19.3498
20150703,19.3264
20150706,19.2054
20150707,19.3984
20150708,18.9732
20150709,19.1248
20150710,19.1913
20150713,19.6464
20150714,19.785
20150715,19.8499
